"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bermuda","BMU","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3913226388.85258","3774918015.8216","3772662947.20449","3886166044.31753","3909468015.37137","4081451312.28006","4187588450.80187","4380217554.82478","4551046043.59044","4704991866.95012","5143363318.31215","5514839418.43801","5433341640.0347","5618656986.12881","5749081029.13362","5845332495.22823","6169389918.25616","6375764630.20097","6256795678.60925","5904744699.40928","5756956126.27891","5541487978.00699","5247495465.80897","5232817772.57041","5039147649.75544","5078227736.38443","5044853303.55627","5227044136.51153","5204421421.5194","5220360833.0949","4863394898.50026","5009968693.42423","5156616135.79443",
"Bolivia","BOL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31491963975.8903","33150496656.8402","33696318982.0071","35134914619.7482","36774754228.6478","38495178949.3676","40174085338.5554","42164393386.8173","44284990310.7157","44474036478.7471","45589361172.7574","46356994438.2886","47509228009.1384","48797364634.4045","50833822900.3196","53081406385.6937","55627726133.6856","58166789314.4665","61743173119.2022","63815891177.9766","66449395975.9023","69907483970.3605","73488337951.0082","78482613796.4856","82768211473.244","86788418429.8011","90489007910.6098","94285208501.691","98267460868.9834","100445761215.968","91668926758.7059","97266051942.8977","100252172887.53",
"Brazil","BRA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567624706715.49","1583805565677.82","1575188522272.15","1652761673968.03","1749495672141.34","1823390758959.68","1863666981932.48","1926935605666.74","1933450534507.11","1942497875887.32","2027733700699.17","2055917098426.17","2118693742881.18","2142864415484.06","2266292648028.57","2338862331514.08","2431527793059.79","2579118383866.49","2710503715139.52","2707093576146.85","2910889693667.91","3026580765470.29","3084726708326.3","3177417275748.5","3193430052501.08","3080198578728.2","2979293832693.15","3018705988834.89","3072549644189.19","3110058648864.81","3008149528512.65","3158221587261.26","3249826771296.48",
"Barbados","BRB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3649364591.12634","3507042772.25239","3307403633.83192","3333633593.62439","3400665713.09404","3469155052.55215","3607105211.46069","3778085690.1079","3918950288.99339","3932065268.88962","4106931667.50608","4009783668.27471","4041356768.02491","4129275707.3293","4187564506.86812","4353201845.5576","4619300561.71424","4715273410.1729","4745455787.7401","4507340941.35406","4400734904.36152","4370467570.86899","4351557469.94861","4288572730.42294","4284830395.19655","4390777963.0503","4501997461.37833","4522539648.68581","4476086875.63334","4470216610.63178","3875185115.33965","3867850441.39769","4254596626.33776",
"Brunei Darussalam","BRN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18428919884.5686","19008682897.7249","19913226441.082","19973876727.188","20602134525.5171","21524843836.6747","22144397236.8854","21818615159.9052","21696756263.0502","22358975358.8289","22996076889.8896","23627098557.2186","24541962723.8529","25254650394.4204","25382014206.0119","25480371340.6547","26600926645.0082","26642046839.3565","26125267156.9915","25664277532.74","26331283314.8852","27317473701.2105","27566838984.6099","26980760126.4509","26303987537.3725","26200774964.8048","25551541319.6116","25891019749.5614","25904544646.2882","26906819938.6988","27211828478.7284","26778952921.2749","26342902784.7162",
"Bhutan","BTN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529010316.69005","1522773855.35289","1592835027.19021","1624474570.00364","1704910487.95891","1825517855.36111","1927111079.64083","2030670917.14528","2150765421.33491","2322481930.82955","2400402785.50963","2600811321.47638","2886699832.15725","3112535088.29575","3299559298.76063","3540006412.38459","3787797589.79803","4483269577.18031","4698442334.64709","5015508904.3698","5614656381.87508","6062852898.98342","6373174013.78458","6508283558.72915","6884234277.35022","7341501096.72828","7938147353.08061","8307416844.22731","8561219214.89645","9053931934.19522","8147660570.11521","8480705881.72663","",
"Botswana","BWA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12294438183.2763","13211444577.5303","13596831688.6409","13857361539.4586","14360094996.9522","15369668587.2894","16265689528.7118","17619953090.397","17698126406.1426","19409046885.7034","19794839702.028","19844440413.704","21048904851.879","22022605036.2689","22618497463.5915","23649142245.0926","25627126017.0306","27111591585.6786","27993280324.1113","24033845078.2586","26466601136.1697","28276527528.1603","28228202727.3011","31362330331.8035","33149031169.6682","31540974380.3709","33812498275.3189","35203223635.2295","36678184825.6513","37790471524.0329","34491570641.4551","38585843664.9637","40817011895.3716",
"Central African Republic","CAF","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3372788348.74427","3354152242.6464","3138678879.64974","3149202106.75233","3303511416.80188","3541365743.80946","3399707821.8743","3579890161.24144","3748150095.8242","3883082558.65022","3786415841.75199","3955469427.54081","4098520648.25994","3877303602.09053","4109743464.20343","4147068586.47959","4344928771.59951","4545122879.15504","4638485655.47693","5036804498.5544","5270049769.669","5491108085.5972","5768615578.41872","3669302318.2265","3672277040.52477","3831548140.33666","4013558816.92666","4195263790.82987","4354240945.75063","4489222415.0689","4529625416.66343","4570392045.72498","4570392045.72498",
"Canada","CAN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","957085101679.086","937119488260.365","945555996069.729","970715885216.769","1014344382647.11","1041670579675.36","1058537023189.94","1103842831560.95","1146850224233.18","1206061110708.21","1268506560957.02","1291212484378.08","1330181929377.08","1354145398076.47","1395947606643.09","1440676565833.59","1478628363551.64","1509262956104.79","1524420320951.4","1479816458481.62","1525541595227.11","1573536666848.57","1601246043121.22","1638541025091.36","1685567743622.64","1696678616208.21","1713669061092.82","1765762548007.76","1814798490049.67","1849065943165.39","1755237725548.51","1843206745241.63","1905805774738.81",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1548383143351","1395684202349.65","1362774255790.77","1383450936378.13","1439535360517.93","1521312750277.78","1590313421595.35","1618403248398.59","1659723384112.38","1688471592834.33","1754980271334.65","1809754285819.69","1876390447379.31","1951796977998.14","2069028202143.62","2171962919297.29","2315209509408.51","2463304288813.46","2566428635623.93","2479625244961.39","2509778423508.36","2599787941116.61","2622873321846.46","2640044301253.94","2725792939139.14","2834645608298.74","2913019597901.08","3064741443660.73","3217836494506.32","3345751783296.79","3232794470789.12","3439480718627.35","3581127817921.75",
